P1:1:1:1:1:0|tick=0|duration=3840|staff=1|voice=1|pitch=C4:alter=1.000:acc=sharp|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=tie:start,tied:start|slurs=start|tuplets=-|articulations=accent|arpeggio=-|fingers=1
P1:1:1:1:1:1|tick=3840|duration=3840|staff=1|voice=1|pitch=D4:alter=-1.000:acc=flat|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:1:1:1:1:2|tick=7680|duration=1920|staff=1|voice=1|pitch=F4:alter=1.000:acc=-|rhythm=eighth:dots=0:ratio=-|stem=unspecified|beams=1:begin|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:1:1:1:1:3|tick=9600|duration=1920|staff=1|voice=1|pitch=G4:alter=0.000:acc=-|rhythm=eighth:dots=0:ratio=-|stem=unspecified|beams=1:end|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:1:1:1:1:4|tick=11520|duration=3840|staff=1|voice=1|pitch=C5:alter=0.000:acc=-|rhythm=quarter:dots=0:ratio=-|stem=down|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=up|fingers=3
P1:1:1:1:1:5|tick=11520|duration=3840|staff=1|voice=1|pitch=E5:alter=0.000:acc=-|rhythm=quarter:dots=0:ratio=-|stem=down|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=up|fingers=-
P1:1:1:2:2:6|tick=0|duration=7680|staff=2|voice=2|pitch=rest|rhythm=half:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:1:1:2:2:7|tick=7680|duration=7680|staff=2|voice=2|pitch=A2:alter=0.000:acc=-|rhythm=half:dots=0:ratio=-|stem=up|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:2:2:1:1:0|tick=15360|duration=15360|staff=1|voice=1|pitch=C4:alter=1.000:acc=-|rhythm=whole:dots=0:ratio=-|stem=unspecified|beams=-|ties=tie:stop,tied:stop|slurs=stop|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:2:2:2:2:1|tick=15360|duration=15360|staff=2|voice=2|pitch=rest|rhythm=whole:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:3:3:1:1:0|tick=30720|duration=3840|staff=1|voice=1|pitch=F4:alter=1.000:acc=-|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
